"ID","NAME","DESCRIPTION","IID"
"BILT","BILT","OFF-EXCHANGE TRANSACTIONS - LISTED AND UNLISTED INSTRUMENTS",196
"BILU","BILU","BANQUE INTERNATIONALE A LUXEMBOURG S.A. - SYSTEMATIC INTERNALISER",197
"BINV","BINV","BOND INVEST - SYSTEMATIC INTERNALISER",198
"BISI","BISI","GOLDMAN SACHS INTERNATIONAL BANK - SYSTEMATIC INTERNALISER",199
"BIVA","BIVA","BOLSA INSTITUCIONAL DE VALORES",200
"BJSE","BJSE","BEIJING STOCK EXCHANGE",201
"BKBF","BKBF","BNY MELLON S.A./N.V. - BRUSSELS BRANCH - SYSTEMATIC INTERNALISER",202
"BKBR","BKBR","BNY MELLON S.A./N.V. - BRUSSELS BRANCH",203
"BKDM","BKDM","BNY MELLON MARKETS EUROPE LIMITED",204
"BKKT","BKKT","BAKKT",205
"BKLF","BKLF","BNY MELLON - SYSTEMATIC INTERNALISER",206
"BKLN","BKLN","BNY MELLON INTERNATIONAL - LONDON BRANCH",207
"BKSK","BKSK","BKS BANK AG - SYSTEMATIC INTERNALISER",208
"BLBB","BLBB","BAYERNLB",209
"BLBF","BLBF","BANJA LUKA STOCK EXCHANGE - FREE MARKET",210
"BLBS","BLBS","BAYERNLB - BONDS MARKET - SYSTEMATIC INTERNALISER",211
"BLEQ","BLEQ","BAYERNLB - EQUITIES MARKET",212
"BLEV","BLEV","BLOCK EVENT",213
"BLFX","BLFX","BAYERNLB - FX DERIVATIVES MARKET",214
"BLIQ","BLIQ","BAYERNLB - LIQP BONDS MARKET",215
"BLKX","BLKX","INSTINET BLOCKCROSS ATS",216
"BLNK","BLNK","BLINK MTF",217
"BLOX","BLOX","BLOCKMATCH  UK DARK",218
"BLPX","BLPX","BELGIAN POWER EXCHANGE",219
"BLTD","BLTD","BLOOMBERG TRADEBOOK LLC",220
"BLTX","BLTX","BALTEX - FREIGHT DERIVATIVES MARKET",221
"BLUE","BLUE","PRO SECURITIES ATS",222
"BLUX","BLUX","BANQUE DE LUXEMBOURG - SYSTEMATIC INTERNALISER",223
"BLXA","BLXA","INSTINET BLX (AU)",224
